partid,cfp,co2
P68,0.142,0.142
P295,0.4008,0.4008
P260,0.86,0.86
P224,0.4941,0.4941
P19,0.7139,0.7139
P266,0.124,0.124
P145,0.6627,0.6627
P273,0.3174,0.3174
P141,0.639,0.639
P287,0.9719,0.9719
P104,0.1242,0.1242
P183,0.8606,0.8606
P7,0.3951,0.3951
P114,0.8165,0.8165
P113,0.6592,0.6592
P199,0.5979,0.5979
P88,0.2608,0.2608
P38,0.5255,0.5255
P163,0.9634,0.9634
P265,0.7281,0.7281
P289,0.8738,0.8738
P203,0.3275,0.3275
P204,0.9117,0.9117
P226,0.2891,0.2891
P256,0.8791,0.8791
P232,0.1177,0.1177
P286,0.2166,0.2166
P298,0.6575,0.6575
P122,0.743,0.743
P164,0.4767,0.4767
P186,0.7158,0.7158
P242,0.6016,0.6016
P293,0.8774,0.8774
P158,0.6011,0.6011
P32,0.9056,0.9056
P279,0.12,0.12
P82,0.9955,0.9955
P13,0.8538,0.8538
P196,0.5127,0.5127
P123,0.5933,0.5933
P239,0.2637,0.2637
P190,0.5031,0.5031
P6,0.9377,0.9377
P144,0.7069,0.7069
P90,0.6371,0.6371
P288,0.9111,0.9111
P132,0.8372,0.8372
P155,0.5252,0.5252
P264,0.2918,0.2918
P285,0.2376,0.2376
P94,0.6212,0.6212
P225,0.9678,0.9678
P4,0.1582,0.1582
P30,0.6893,0.6893
P146,0.4168,0.4168
P284,0.4819,0.4819
P73,0.7233,0.7233
P81,0.2931,0.2931
P237,0.3687,0.3687
P268,0.2553,0.2553
P124,0.6109,0.6109
P168,0.1568,0.1568
P238,0.2771,0.2771
P240,0.745,0.745
P64,0.5332,0.5332
P89,0.2787,0.2787
P129,0.1911,0.1911
P20,0.4565,0.4565
P126,0.6542,0.6542
P14,0.7224,0.7224
P177,0.118,0.118
P112,0.6311,0.6311
P236,0.8988,0.8988
P49,0.248,0.248
P211,0.2337,0.2337
P245,0.5097,0.5097
P189,0.7467,0.7467
P108,0.6389,0.6389
P292,0.7047,0.7047
P85,0.7877,0.7877
P36,0.7955,0.7955
P52,0.2002,0.2002
P140,0.4015,0.4015
P150,0.8199,0.8199
P58,0.815,0.815
P9,0.2232,0.2232
P173,0.4201,0.4201
P40,0.6833,0.6833
P235,0.9657,0.9657
P172,0.1682,0.1682
P244,0.9279,0.9279
P25,0.2957,0.2957
P102,0.3253,0.3253
P118,0.1959,0.1959
P131,0.323,0.323
P77,0.247,0.247
P223,0.199,0.199
P43,0.7413,0.7413
P243,0.5055,0.5055
P176,0.2349,0.2349
P258,0.9238,0.9238
P296,0.5624,0.5624
P48,0.173,0.173
P11,0.7328,0.7328
P184,0.4703,0.4703
P165,0.1667,0.1667
P233,0.7527,0.7527
P63,0.3633,0.3633
P117,0.4074,0.4074
P31,0.6295,0.6295
P78,0.6415,0.6415
P105,0.7093,0.7093
P1,0.2587,0.2587
P111,0.4858,0.4858
P135,0.5258,0.5258
P178,0.1747,0.1747
P206,0.1963,0.1963
P270,0.9457,0.9457
P271,0.1233,0.1233
P37,0.1282,0.1282
P219,0.2831,0.2831
P33,0.7615,0.7615
P231,0.9767,0.9767
P263,0.1507,0.1507
P269,0.7918,0.7918
P44,0.1176,0.1176
P65,0.8188,0.8188
P156,0.8983,0.8983
P167,0.5346,0.5346
P246,0.337,0.337
P10,0.7164,0.7164
P234,0.9845,0.9845
P106,0.9294,0.9294
P51,0.5117,0.5117
P160,0.7748,0.7748
P180,0.5129,0.5129
P137,0.3114,0.3114
P166,0.1808,0.1808
P27,0.3679,0.3679
P53,0.9846,0.9846
P115,0.2706,0.2706
P79,0.9527,0.9527
P142,0.8428,0.8428
P2,0.6457,0.6457
P15,0.5154,0.5154
P56,0.3225,0.3225
P87,0.3427,0.3427
P41,0.7917,0.7917
P62,0.1427,0.1427
P229,0.3519,0.3519
