partid,cfp,co2
P34,0.1642,0.1642
P281,0.8726,0.8726
P96,0.6083,0.6083
P275,0.4203,0.4203
P127,0.583,0.583
P157,0.4386,0.4386
P3,0.9452,0.9452
P143,0.9638,0.9638
P130,0.3282,0.3282
P138,0.6872,0.6872
P26,0.9455,0.9455
P277,0.3785,0.3785
P262,0.648,0.648
P276,0.7114,0.7114
P251,0.9459,0.9459
P147,0.9359,0.9359
P99,0.4133,0.4133
P181,0.2331,0.2331
P55,0.5139,0.5139
P187,0.2003,0.2003
P120,0.8693,0.8693
P17,0.5349,0.5349
P283,0.5994,0.5994
P192,0.5528,0.5528
P74,0.257,0.257
P250,0.4891,0.4891
P18,0.6337,0.6337
P66,0.9523,0.9523
P29,0.3952,0.3952
P191,0.9749,0.9749
P47,0.4859,0.4859
P54,0.3471,0.3471
P125,0.4145,0.4145
P161,0.1405,0.1405
P254,0.2487,0.2487
P170,0.7132,0.7132
P45,0.9337,0.9337
P214,0.9432,0.9432
P86,0.8215,0.8215
P213,0.9583,0.9583
P257,0.678,0.678
P216,0.7566,0.7566
P119,0.7938,0.7938
P134,0.8295,0.8295
P154,0.3034,0.3034
P247,0.6829,0.6829
P42,0.8007,0.8007
P109,0.3404,0.3404
P50,0.2465,0.2465
P152,0.2322,0.2322
P171,0.2596,0.2596
P209,0.7939,0.7939
P93,0.4317,0.4317
P200,0.9454,0.9454
P248,0.7666,0.7666
P60,0.6707,0.6707
P121,0.848,0.848
P253,0.6456,0.6456
P80,0.3866,0.3866
P291,0.1244,0.1244
P28,0.4278,0.4278
P195,0.6982,0.6982
P252,0.1103,0.1103
P101,0.426,0.426
P197,0.2397,0.2397
P280,0.3352,0.3352
P151,0.7333,0.7333
P179,0.9388,0.9388
P70,0.4505,0.4505
P220,0.357,0.357
P46,0.5618,0.5618
P212,0.7,0.7
P249,0.1967,0.1967
P207,0.1041,0.1041
P198,0.2153,0.2153
P149,0.7729,0.7729
P35,0.7491,0.7491
P98,0.8931,0.8931
P221,0.8755,0.8755
P72,0.2599,0.2599
P208,0.9003,0.9003
P71,0.7187,0.7187
P139,0.449,0.449
P23,0.6936,0.6936
P182,0.3355,0.3355
P188,0.8239,0.8239
P16,0.5591,0.5591
P84,0.805,0.805
P128,0.788,0.788
P227,0.9243,0.9243
P201,0.1098,0.1098
P110,0.7254,0.7254
P136,0.8433,0.8433
P159,0.9049,0.9049
P193,0.1254,0.1254
P39,0.9737,0.9737
P61,0.8685,0.8685
P148,0.7415,0.7415
P133,0.7638,0.7638
P272,0.4447,0.4447
P8,0.444,0.444
P12,0.9997,0.9997
P22,0.8569,0.8569
P299,0.5657,0.5657
P241,0.731,0.731
P116,0.9563,0.9563
P282,0.6789,0.6789
P294,0.1129,0.1129
P21,0.1934,0.1934
P228,0.2488,0.2488
P230,0.8476,0.8476
P91,0.1359,0.1359
P267,0.2203,0.2203
P185,0.3333,0.3333
P24,0.5669,0.5669
P103,0.5905,0.5905
P175,0.4087,0.4087
P95,0.5775,0.5775
P153,0.7134,0.7134
P218,0.362,0.362
P217,0.6162,0.6162
P255,0.9442,0.9442
P100,0.3202,0.3202
P76,0.3752,0.3752
P194,0.9504,0.9504
P97,0.5996,0.5996
P67,0.565,0.565
P57,0.1108,0.1108
P222,0.3244,0.3244
P69,0.241,0.241
P75,0.5282,0.5282
P162,0.8051,0.8051
P174,0.4255,0.4255
P5,0.9285,0.9285
P274,0.9957,0.9957
P210,0.6065,0.6065
P59,0.1839,0.1839
P278,0.122,0.122
P202,0.1606,0.1606
P107,0.5517,0.5517
P169,0.1418,0.1418
P290,0.2977,0.2977
P261,0.8634,0.8634
P92,0.7646,0.7646
P205,0.4468,0.4468
P83,0.7205,0.7205
P215,0.9103,0.9103
P259,0.1286,0.1286
P297,0.5728,0.5728
