partid,parents_partid,qty
P0,null,1
P1,P0,1
P2,P0,1
P3,P1,1
P4,P1,1
P5,P1,1
P6,P1,1
P7,P1,1
P8,P2,1
P9,P2,1
P10,P2,1
P11,P4,1
P12,P4,1
P13,P4,1
P14,P4,1
P15,P5,1
P16,P5,1
P17,P6,1
P18,P6,1
P19,P7,1
P20,P7,1
P21,P7,1
P22,P8,1
P23,P8,1
P24,P8,1
P25,P8,1
P26,P9,1
P27,P9,1
P28,P9,1
P29,P10,1
P30,P10,1
P31,P10,1
P32,P11,1
P33,P11,1
P34,P11,1
P35,P12,1
P36,P12,1
P37,P12,1
P38,P12,1
P39,P13,1
P40,P13,1
P41,P13,1
P42,P15,1
P43,P15,1
P44,P15,1
P45,P15,1
P46,P16,1
P47,P16,1
P48,P16,1
P49,P16,1
P50,P16,1
P51,P17,1
P52,P17,1
P53,P17,1
P54,P17,1
P55,P18,1
P56,P18,1
P57,P18,1
P58,P21,1
P59,P21,1
P60,P21,1
P61,P21,1
P62,P22,1
P63,P22,1
P64,P22,1
P65,P22,1
P66,P22,1
P67,P23,1
P68,P23,1
P69,P23,4
P70,P24,1
P71,P24,1
P72,P24,1
P73,P24,1
P74,P24,1
P75,P25,1
P76,P25,1
P77,P28,1
P78,P28,1
P79,P29,1
P80,P29,1
P81,P30,1
P82,P30,1
P83,P31,1
P84,P31,1
P85,P31,1
P86,P31,1
P87,P33,1
P88,P33,1
P89,P33,1
P90,P34,1
P91,P34,1
P92,P36,1
P93,P36,1
P94,P36,1
P95,P36,1
P96,P37,1
P97,P37,1
P98,P37,1
P99,P37,1
P100,P39,1
P101,P39,1
P102,P39,1
P103,P41,1
P104,P41,1
P105,P41,1
P106,P41,1
P107,P44,1
P108,P44,1
P109,P44,1
P110,P46,1
P111,P46,1
P112,P46,1
P113,P47,1
P114,P47,1
P115,P47,1
P116,P47,1
P117,P47,1
P118,P48,1
P119,P48,1
P120,P50,1
P121,P50,1
P122,P51,1
P123,P51,1
P124,P51,1
P125,P51,1
P126,P52,1
P127,P52,1
P128,P55,1
P129,P55,1
P130,P56,1
P131,P56,1
P132,P56,1
P133,P56,1
P134,P56,1
P135,P58,1
P136,P58,1
P137,P58,1
P138,P59,1
P139,P59,1
P140,P59,1
P141,P61,1
P142,P61,1
P143,P61,1
P144,P63,1
P145,P63,1
P146,P63,1
P147,P66,1
P148,P66,1
P149,P66,1
P150,P66,1
P151,P67,1
P152,P67,1
P153,P67,1
P154,P67,1
P155,P68,1
P156,P68,1
P157,P68,1
P158,P69,1
P159,P69,1
P160,P69,1
P161,P70,1
P162,P70,1
P163,P70,1
P164,P70,1
P165,P70,1
P166,P74,1
P167,P74,1
P168,P74,1
P169,P74,1
P170,P74,1
P171,P75,1
P172,P75,1
P173,P75,1
P174,P75,1
P175,P76,1
P176,P76,1
P177,P79,1
P178,P79,1
P179,P80,1
P180,P80,1
P181,P80,1
P182,P80,1
P183,P80,1
P184,P81,1
P185,P81,1
P186,P82,1
P187,P82,1
P188,P82,1
P189,P82,1
P190,P82,1
P191,P83,1
P192,P83,1
P193,P83,4
P194,P84,1
P195,P84,1
P196,P84,1
P197,P85,1
P198,P85,1
P199,P85,1
P200,P85,1
P201,P85,1
P202,P86,1
P203,P86,1
P204,P86,1
P205,P86,1
P206,P87,1
P207,P87,1
P208,P87,1
P209,P87,1
P210,P87,1
P211,P89,1
P212,P89,1
P213,P91,1
P214,P91,1
P215,P91,1
P216,P91,1
P217,P91,1
P218,P92,1
P219,P92,1
P220,P92,1
P221,P95,1
P222,P95,1
P223,P95,1
P224,P96,1
P225,P96,1
P226,P98,1
P227,P98,1
P228,P98,1
P229,P98,1
P230,P98,1
P231,P99,1
P232,P99,1
P233,P101,1
P234,P101,1
P235,P101,1
P236,P102,1
P237,P102,1
P238,P102,1
P239,P102,1
P240,P103,1
P241,P103,1
P242,P104,1
P243,P104,1
P244,P104,1
P245,P104,1
P246,P106,1
P247,P106,1
P248,P106,1
P249,P106,1
P250,P106,1
P251,P107,1
P252,P107,1
P253,P107,1
P254,P108,1
P255,P108,1
P256,P108,1
P257,P108,1
P258,P112,1
P259,P112,1
P260,P112,1
P261,P113,1
P262,P113,1
P263,P114,1
P264,P114,1
P265,P114,1
P266,P114,1
P267,P115,1
P268,P115,1
P269,P115,1
P270,P115,1
P271,P115,1
P272,P116,1
P273,P116,1
P274,P116,1
P275,P116,1
P276,P117,1
P277,P117,1
P278,P117,1
P279,P117,1
P280,P117,1
P281,P123,1
P282,P123,1
P283,P124,1
P284,P124,1
P285,P126,1
P286,P126,1
P287,P126,1
P288,P126,1
P289,P131,1
P290,P131,1
P291,P131,1
P292,P131,1
P293,P131,1
P294,P132,1
P295,P132,1
P296,P132,1
P297,P132,1
P298,P134,1
P299,P134,1
P300,P134,1
P301,P134,1
P302,P138,1
P303,P138,1
P304,P140,1
P305,P140,1
P306,P141,1
P307,P141,1
P308,P141,1
P309,P141,1
P310,P142,1
P311,P142,1
P312,P142,1
P313,P142,1
P314,P144,1
P315,P144,1
